Brand,Prouduct Name,Price,Expected Delivary,Availibilty,Img Url
Kadence,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Sunburst, Semi/Electro Acoustic)","5,499","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYXRmX25leHQ6MjAxNTIyMzM2ODk0OTg6OjA6Og&url=%2FKadence-Frontier-Acoustic-Wihtout-Sunburst%2Fdp%2FB08PKN69XK%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
VAULT,Vault DA40 41 Inch Premium Solid Spruce-Top Dreadnought Acoustic Guitar With Allen Key Natural,"7,299","Thursday, 31 August",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYXRmX25leHQ6MjAwOTI2MjQwMjE0OTg6OjA6Og&url=%2FPremium-Spruce-Top-Dreadnought-Acoustic-Guitar%2Fdp%2FB0BJK1CWSN%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
MUSTANG,MUSTANG - Yamaha F280 With Water Proof Cover MUSTANG Set 9 Pieces Guitar Tool Kit Including Guitar Capo Tuner String Winder Guitar Picks Guitar Bones Pick Holder Wall Stand,"8,960","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYXRmX25leHQ6MzAwMDQxMDgwOTM1MjMyOjowOjo&url=%2FMUSTANG-Yamaha-Pieces-Guitar-Including%2Fdp%2FB0CG1SRQYY%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-51-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
HOVNER,"Hovner Carlton Special Quality Rosewood Fretboard Blue Semi Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail (Blue)","4,635","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYXRmX25leHQ6MzAwMDAyNTAyMDgxNDMyOjowOjo&url=%2FCarlton-Rosewood-Fretboard-Acoustic-K-Retail%2Fdp%2FB07KK8P9VB%2Fref%3Dsr_1_52_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-52-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Kadence,"Kadence Guitar Acoustica Series A05, Electric Acoustic Guitar, Zebra Wood with Pickup, Inbuilt tuner and Bag (Zebra Wood, Electro Acoustic)","7,399","Friday, 1 September",In stock,https://www.amazon.in/Kadence-Acoustica-Acoustic-Guitar-Zebra/dp/B07KXNKLJ2/ref=sr_1_53?keywords=guitar&qid=1693255487&sr=8-53
medellin,"Medellin 38"" Acoustic Guitar Purple Burst Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest, strings, strap, bag, 3 Picks, capo, stand.","2,799","Saturday, 2 September",Only 2 left in stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Purple-Learning/dp/B09MSGPQ43/ref=sr_1_54?keywords=guitar&qid=1693255487&sr=8-54
VAULT,"Vault DA20 Dreadnought Acoustic Guitar With Gig-Bag, Picks, Strings Set, String Winder, Strap, Polishing Cloth And Allen Key","4,899","Thursday, 31 August",In stock,https://www.amazon.in/Dreadnought-Acoustic-Gig-Bag-Strings-Polishing/dp/B0BJJRJVHY/ref=sr_1_55?keywords=guitar&qid=1693255487&sr=8-55
YAMAHA,"Yamaha F370 Acoustic Guitar, Natural","13,133","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/Yamaha-F370-Acoustic-Guitar-Natural/dp/B000WITPJM/ref=sr_1_56?keywords=guitar&qid=1693255487&sr=8-56
Intern,"INTERN 41 inches Cutaway Shape Acoustic Guitar with truss rod. Includes plectrums. Premium Wooden durable built, Best tonal s","3,290","Thursday, 31 August",In stock,https://www.amazon.in/Acoustic-plectrums-stability-resistance-Electric/dp/B09YH937P2/ref=sr_1_57?keywords=guitar&qid=1693255487&sr=8-57
HOVNER,"Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail","4,580","Saturday, 2 September",In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_58?keywords=guitar&qid=1693255487&sr=8-58
YAMAHA,YAMAHA FX280 Natural Electro Acoustic Guitar,"11,325","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-FX280-acoustic-Dreadnought-Natural/dp/B09HR6BNFQ/ref=sr_1_59?keywords=guitar&qid=1693255487&sr=8-59
blueberry,"Blueberry B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Classic Maroon)","4,290","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Acoustic-Inbuilt-Strings-Classic/dp/B09VLF8B8G/ref=sr_1_60?keywords=guitar&qid=1693255487&sr=8-60
blueberry,"Blueberry 38 Inch D38S Acoustic Guitar Kit Inbuilt Truss Rod, with Bag, Belt, One Pack Strings And Picks (Brown)","2,999","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-Inbuilt-Strings/dp/B07PHZ16BG/ref=sr_1_61?keywords=guitar&qid=1693255487&sr=8-61
Kadence,Kadence professional Guitar A311 Black,"6,999","Friday, 1 September",In stock,https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sr_1_62?keywords=guitar&qid=1693255487&sr=8-62
Intern,"Intern INT-38C-RD-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Red, 6 Strings)","2,099","Saturday, 2 September",In stock,https://www.amazon.in/Intern-INT-38C-RD-G-Guitar-Kit-Red/dp/B07K959RKX/ref=sr_1_63?keywords=guitar&qid=1693255487&sr=8-63
Intern,"Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Blue, 6 Strings)","2,149","Thursday, 31 August",In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_64?keywords=guitar&qid=1693255487&sr=8-64
JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38CT, Hippie Funky Design, with Bag, Picks, Strap & Extra String set","2,489","Thursday, 31 August",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-JRZ38CT/dp/B01N3TTYJQ/ref=sr_1_65?keywords=guitar&qid=1693255487&sr=8-65
YAMAHA,"Yamaha FS100C Acoustic Guitar, Black","10,490","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_66?keywords=guitar&qid=1693255487&sr=8-66
Kadence,Kadence A281BK Professional Acoustic Rosewood Guitar (Black),"6,499","Friday, 1 September",In stock,https://www.amazon.in/Kadence-A281BK-Professional-Acoustic-Rosewood/dp/B0CD7D6C6R/ref=sr_1_67?keywords=guitar&qid=1693255487&sr=8-67
JUAREZ,"JUAREZ JRZ-ST01, 6 Strings Linden Wood Electric Guitar, Right Handed with Bag/Case, 2 x Picks (3TS Sunburst)","5,749","Thursday, 31 August",In stock,https://www.amazon.in/JRZ-ST01-6-String-Electric-Sunburst-Without/dp/B01FYZSOEE/ref=sr_1_68?keywords=guitar&qid=1693255487&sr=8-68
blueberry,"Blueberry R-40, 40"" TrussRod Sapele Wood Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Classic Brown)","4,795","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfbXRmOjIwMTAzNTI4NjU2Nzk4OjowOjo&url=%2FBlueberry-Acoustic-Inbuilt-Strings-Classic%2Fdp%2FB09VLF7G2D%2Fref%3Dsr_1_69_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
FESTRA,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Classic Brown)","4,555","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfbXRmOjIwMDc4MzM2ODg1Nzk4OjowOjo&url=%2FFestra-Trussrod-Acoustic-Strings-Classic%2Fdp%2FB09VLF711S%2Fref%3Dsr_1_70_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
blueberry,"Blueberry B-D38 38 Incheses wood Acoustic Guitar Kit Inbuilt Truss Rod With Bag, Strap, One Pack Strings And Picks (Blue)","2,655","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfbXRmOjIwMDc4MzM2ODg3NDk4OjowOjo&url=%2FBlueberry-B-D38-Acoustic-Inbuilt-Strings%2Fdp%2FB07PHYZZP1%2Fref%3Dsr_1_71_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-71-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Kadence,"Kadence Frontier Series Spruce Wood Acoustic Guitar With Equalizer, Super Combo With Bag, 1 Pack Strings, Strap, Picks, Capo, Tuner And Guitar Stand","6,899",,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfbXRmOjIwMTUyMjMzNjg5Nzk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Equalizer-Strings%2Fdp%2FB01HRIHH9E%2Fref%3Dsr_1_72_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-72-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
JUAREZ,"JUAREZ Fiésta 41 Inch Acoustic Guitar with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, Natural","4,009","Thursday, 31 August",In stock,https://www.amazon.in/JUAREZ-Acoustic-Rosewood-Fretboard-Natural/dp/B08GZZX16R/ref=sr_1_73?keywords=guitar&qid=1693255487&sr=8-73
blueberry,"Blueberry B-38, 38"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Natural)","2,655","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-B-D38-Acoustic-inbuilt-Strings/dp/B07PCRZ1CD/ref=sr_1_74?keywords=guitar&qid=1693255487&sr=8-74
VAULT,"Vault Traveller 34 Inch Acoustic Guitar With Truss Rod, Gig-Bag, Strap, Strings, Polishing Cloth, String Winder, Picks & E-Book - Natural Gloss","4,084","Thursday, 31 August",In stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_75?keywords=guitar&qid=1693255487&sr=8-75
YAMAHA,"Yamaha FS100C Acoustic Guitar, Natural","9,990","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_76?keywords=guitar&qid=1693255487&sr=8-76
Kadence,"Kadence Slowhand Series Premium Acoustic Guitar, 38"" Travel Guitar (Mahogany Wood SHM03) (Mahogany)","8,999","Saturday, 2 September",In stock,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Mahogany/dp/B09SFXW1VL/ref=sr_1_77?keywords=guitar&qid=1693255487&sr=8-77
JUAREZ,"Juârez JRZ38C/MAH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Mahogany with Bag, Strings, Picks and Strap","2,799","Thursday, 31 August",In stock,https://www.amazon.in/JRZ38C-Strings-Acoustic-Cutaway-Mahogany/dp/B071JM8C6T/ref=sr_1_78?keywords=guitar&qid=1693255487&sr=8-78
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","11,999","Friday, 1 September",In stock,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X/ref=sr_1_79?keywords=guitar&qid=1693255487&sr=8-79
FESTRA,"Festra 38C, 38 Inch Acoustic Guitar Kit with Bag, Strap, One Pack Strings And 2 Picks (Acoustic 38C (38 Inch) Guitar Kit, Natural)","2,328","Monday, 4 September",In stock,https://www.amazon.in/Festra-38C-Acoustic-Strings-Natural/dp/B09JT6C952/ref=sr_1_80?keywords=guitar&qid=1693255487&sr=8-80
Intern,"Intern INT-38C-SB-G Linden Wood Cutaway Right Handed Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst, 6 Strings)","2,199","Saturday, 2 September",In stock,https://www.amazon.in/Intern-INT-38C-SB-G-Guitar-Kit-Sunburst/dp/B07K8WLPLH/ref=sr_1_81?keywords=guitar&qid=1693255487&sr=8-81
JUAREZ,"JUAREZ Arpeggio Guitar JRA41MAH, mahogany","6,359","Thursday, 31 August",In stock,https://www.amazon.in/JUAREZ-Arpeggio-Guitar-JRA41MAH-mahogany/dp/B08MWBBYL1/ref=sr_1_82?keywords=guitar&qid=1693255487&sr=8-82
Neowood,"Neowood FLYM, Acoustic Guitar with Touch Pikup, Bag, Plectrums, finger Protectors & Neowood String Set (Wine red)","5,299","Saturday, 2 September",In stock,https://www.amazon.in/Neowood-FLYM-Acoustic-Plectrums-Protectors/dp/B0BPCLSJH3/ref=sr_1_83?keywords=guitar&qid=1693255487&sr=8-83
Ibanez,"Ibanez MD39C-NT Rose Wood Acoustic Guitar (Natural), Designed in Japan and Made Specially for India","7,249","Thursday, 31 August",In stock,https://www.amazon.in/Ibanez-IBA-MD39CNT-Acoustic-Guitar-MD39C-NT/dp/B07G4CCMYL/ref=sr_1_84?keywords=guitar&qid=1693255487&sr=8-84
JUAREZ,"Juârez JRZ38C/VTS 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Violet/Purple with Bag, Strings, Picks and Strap","2,649","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/JRZ38C-VTS-Strings-Acoustic-Cutaway/dp/B072MFLQC9/ref=sr_1_85?keywords=guitar&qid=1693255487&sr=8-85
DOMENICO,DOMENICO Guitar 4-String plastic Acoustic Guitar Musical Instrument For Learning (23 Inches),949,"Saturday, 2 September",In stock,https://www.amazon.in/DOMENICO-4-String-Acoustic-Instrument-Learning/dp/B09M9VKRK8/ref=sr_1_86?keywords=guitar&qid=1693255487&sr=8-86
YAMAHA,"Yamaha F280 Acoustic Guitar, Tobacco Brown Sunburst","7,968","Thursday, 31 August",In stock,https://www.amazon.in/Yamaha-Acoustic-Guitar-Tobacco-Sunburst/dp/B08VXR74Q2/ref=sr_1_87?keywords=guitar&qid=1693255487&sr=8-87
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)","2,499","Saturday, 2 September",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNSN6S4/ref=sr_1_88?keywords=guitar&qid=1693255487&sr=8-88
JUAREZ,"JUAREZ Fiésta 41 Inch Acoustic Guitar Cutaway with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, Black","4,009","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/JUAREZ-Acoustic-Cutaway-Rosewood-Fretboard/dp/B08GZZ6SQ2/ref=sr_1_89?keywords=guitar&qid=1693255487&sr=8-89
Ibanez,Ibanez RG Gio Series GRGR221PA Electric Guitar- Aqua Burst,"29,795","Thursday, 31 August",Only 1 left in stock,https://www.amazon.in/Ibanez-GRGR221PA-Electric-Guitar-Burst/dp/B08SHLHBGT/ref=sr_1_90?keywords=guitar&qid=1693255487&sr=8-90
YAMAHA,YAMAHA FS80C BLACK CONCERT CUTAWAY GUITAR,"8,490","Saturday, 2 September",In stock,https://www.amazon.in/YAMAHA-FS80C-CONCERT-CUTAWAY-GUITAR/dp/B08WBBVMVJ/ref=sr_1_91?keywords=guitar&qid=1693255487&sr=8-91
enya,"Enya Nova Go Carbon Fiber Acoustic Guitar 1/2 Size Beginner Adult Travel Acustica Guitarra w/Starter Bundle Kit of Colorful Packaging, Acoustic Guitar Strap, Gig Bag, Cleaning Cloth, String(White)","16,500","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/Acoustic-Beginner-Acustica-Guitarra-Packaging/dp/B09JNTBFMC/ref=sr_1_92?keywords=guitar&qid=1693255487&sr=8-92
blueberry,"Blueberry, VIP-340, 34Inch Acoustic Guitar Kit With Bag, Belt, String Set and 2 Picks (Black)","2,999","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-VIP-340-34Inch-Acoustic-Guitar/dp/B0BVR4M8MC/ref=sr_1_93?keywords=guitar&qid=1693255487&sr=8-93
blueberry,"SHARE BY Blueberry R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Natural)","3,999","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Trussrod-Acoustic-Strings-Natural/dp/B09WLNQFC9/ref=sr_1_94?keywords=guitar&qid=1693255487&sr=8-94
JUAREZ,"Juârez JRZ38C/ASH 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Ash with Bag, Strings, Picks and Strap","2,799","Thursday, 31 August",In stock,https://www.amazon.in/Juarez-JRZ38C-ASH-Strings-Acoustic/dp/B072JTPNZC/ref=sr_1_95?keywords=guitar&qid=1693255487&sr=8-95
JUAREZ,"JUAREZ Fiésta 104.14 cm (41 Inch) Acoustic Guitar with Dual Action Truss Rod, 21 Frets Rosewood Fretboard & Bridge, Padded 5mm Cotton Bag, Cotton Strap, 2 Picks, Allen Key, Extra String Set, Brown","4,009","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/JUAREZ-Fi%C3%A9sta-Acoustic-Rosewood-Fretboard/dp/B08GZZVCB7/ref=sr_1_96?keywords=guitar&qid=1693255487&sr=8-96
Fender,Fender Squier 39 Inch 6 String Cutaway Acoustic Guitar Hardwood Fretboard-Natural Sa 135C Right-Hand One Of The Most Reputed Guitar Brands In The World,"7,586","Thursday, 31 August",In stock,https://www.amazon.in/Fender-String-Cutaway-Acoustic-Guitar/dp/B07YX5W8MV/ref=sr_1_97?keywords=guitar&qid=1693255487&sr=8-97
Fender,Fender Acoustic Guitar Dreadnought Solid CD60S Black 970110006,"13,739","Thursday, 31 August",In stock,https://www.amazon.in/Fender-091170170-Acoustic-Guitar/dp/B08PMT53X7/ref=sr_1_98?keywords=guitar&qid=1693255487&sr=8-98
VAULT,"Vault Junior 30 Inch Acoustic Guitar for Kids with Truss Rod, Gig-Bag, Strings, Straps, Picks, String winder, Polishing Cloth & E-Book - Natural Gloss","3,799","Thursday, 31 August",In stock,https://www.amazon.in/Junior-Acoustic-Guitar-Strings-Polishing/dp/B07RMJ88G2/ref=sr_1_99?keywords=guitar&qid=1693255487&sr=8-99
blueberry,"Blueberry B-D38, 38 Inch Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,795","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-B-D38-Acoustic-Inbuilt-Sunburst/dp/B08LNP8KGS/ref=sr_1_100?keywords=guitar&qid=1693255487&sr=8-100
Belear,"Belear I-280-WBL Couturier 38 Inch Blue Cutaway Acoustic Guitar With Dual Action Truss Rod, Bag,Strap String and Picks","3,049","Wednesday, 6 September",In stock,https://www.amazon.in/Belear-I-280-WBL-Couturier-Cutaway-Acoustic/dp/B0BPSX7WHQ/ref=sr_1_101?keywords=guitar&qid=1693255487&sr=8-101
YAMAHA,"YAMAHA F310, 6-Strings Rose Wood Acoustic Guitar, Natural","9,300","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-F310-6-Strings-Acoustic-Natural/dp/B000RVYW7E/ref=sr_1_102?keywords=guitar&qid=1693255487&sr=8-102
YAMAHA,"Yamaha F310, 6-Strings Acoustic Guitar, Natural","9,195","Saturday, 2 September",In stock,https://www.amazon.in/Yamaha-F310-Acoustic-Guitar-Natural/dp/B08Z3C1GRM/ref=sr_1_103?keywords=guitar&qid=1693255487&sr=8-103
blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Sunburst)","2,395","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-38C-Acoustic-Strings-Sunburst/dp/B08KLMQN88/ref=sr_1_104?keywords=guitar&qid=1693255487&sr=8-104
Kadence,"Kadence Guitar Frontier Series, Blue Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks, Guitar stand, Capo and Bag, Super Combo (Blue, Acoustic)","4,999","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMTUyMjMzNjg5OTk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Foldable-Strings%2Fdp%2FB01CJJGEVS%2Fref%3Dsr_1_105_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-105-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
blueberry,"Blueberry, VIP-340, 34Inch Acoustic Guitar Kit With Bag, Belt, String Set and 2 Picks (Black)","2,999","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMTI3OTkwMDI5Nzk4OjowOjo&url=%2FBlueberry-VIP-340-34Inch-Acoustic-Guitar%2Fdp%2FB0BVR4M8MC%2Fref%3Dsr_1_106_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
