Brand,Prouduct Name,Price,Expected Delivary,Availibilty,Img Url
Kadence,"Kadence Guitar Slowhand Series Premium Electric Acoustic Mahogany body Demi Cutaway Jumbo Guitar 41” Combo with Heavy Padded Bag, Instrument cable, Pro Capo, Picks, and String Set (Mahogany SH03)","11,999","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMTUyMjMzNjg5Njk4OjowOjo&url=%2FKadence-Slowhand-Acoustic-Mahagony-Instrument%2Fdp%2FB077T7GXFV%2Fref%3Dsr_1_107_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
blueberry,"Blueberry B-40, 40 Inch Acoustic Guitar Kit with Bag, Belt, One Pack Strings & Picks (Black)","4,290","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODQwMzE5NjE5MjAzNjA0OjE2OTMyNTU0ODc6c3BfYnRmOjIwMDc4MzM2ODg5MDk4OjowOjo&url=%2FBlueberry-Acoustic-Guitar-Strings-Picks%2Fdp%2FB08L7NQB57%2Fref%3Dsr_1_108_sspa%3Fkeywords%3Dguitar%26qid%3D1693255487%26sr%3D8-108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)","2,499","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYXRmX25leHQ6MzAwMDI1MjE3MjQxNjMyOjowOjo&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN6S4%2Fref%3Dsr_1_97_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-97-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Kadence,"Kadence Frontier Series, Acoustic Guitar With/Wihtout EQ Die Cast Keys Combo (Bag,strap,strings and 3 picks) (Natural, Semi/Electro Acoustic)","5,499","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYXRmX25leHQ6MjAxNTIyMzM2OTA2OTg6OjA6Og&url=%2FKadence-Frontier-Acoustic-Natural-Equalizer%2Fdp%2FB01I50UJG6%2Fref%3Dsr_1_98_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-98-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
FESTRA,"Festra R-40- Trussrod Acoustic Guitar Kit with Bag, Strap, One Pack Strings and Picks (Classic Maroon)","4,076","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYXRmX25leHQ6MjAwNzgzMzY4ODU4OTg6OjA6Og&url=%2FFestra-Trussrod-Acoustic-Strings-Classic%2Fdp%2FB09VLDCT9H%2Fref%3Dsr_1_99_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-99-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
musicalworks.in,"Musical Works Guitar, Acoustic Guitar, 40 Inch Cutaway, 038G with Bag, Strings, Pick and Strap, blue mat Colour Acoustic Guitar Cutaway 40 inch Full-size Beginner Guitar Package with Die Cast Keys, Set of Strings, Strap, Picks and Bag (blue maat, Acoustic) with Gig Bag, Tuner, Picks and Strap (Natural Bundle),","4,993","Tuesday, 5 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYXRmX25leHQ6MzAwMDI4MDk0MjMxOTMyOjowOjo&url=%2FMusical-Guitar-Cutaway-038G-Strings%2Fdp%2FB09G1BL9PD%2Fref%3Dsr_1_100_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-100-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
Ibanez,"Ibanez GA5TCE - AM, 6 -Strings Acoustic Guitar, Right-Handed, Amber High Gloss, Rosewood Fretboard","22,572","Thursday, 31 August",Only 2 left in stock,https://www.amazon.in/Ibanez-GA5TCE-Strings-Right-Handed-Fretboard/dp/B00LJV9OAQ/ref=sr_1_101?keywords=guitar&qid=1693255586&sr=8-101
KETOSTICS,"Ketostics® Givson Venus Special KS-vs-BLK, Acoustic Guitar Combo with Cover/Bag, String Set, Belt and Picks (BLACK)","4,079","Saturday, 2 September",In stock,https://www.amazon.in/KETOSTICS-Givson-Special-KS-vs-BLK-Acoustic/dp/B08LVS9WLY/ref=sr_1_102?keywords=guitar&qid=1693255586&sr=8-102
YAMAHA,Yamaha FS80C 25 Incheses sprucewood The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,"8,749","Thursday, 31 August",In stock,https://www.amazon.in/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=sr_1_103?keywords=guitar&qid=1693255586&sr=8-103
JUAREZ,"Juarez Wood Acoustic Guitar, [LEFT HANDED] 96.52 cm (38 Inch) Cutaway, 38CL/3TS with Bag, Strings, Pick and Strap, 3TS Sunburst","2,649","Thursday, 31 August",In stock,https://www.amazon.in/Acoustic-Cutaway-3TS-Strings-Sunburst/dp/B098BD1MHM/ref=sr_1_104?keywords=guitar&qid=1693255586&sr=8-104
HOVNER,"Hovner 215 Green F-Cut Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks V3","4,480","Wednesday, 6 September",In stock,https://www.amazon.in/215-Rosewood-Fretboard-Acoustic-Strings/dp/B0C5458VCL/ref=sr_1_105?keywords=guitar&qid=1693255586&sr=8-105
JUAREZ,"Juârez Acoustic Guitar, 38 Inch Cutaway, JRZ38C with Bag, Strings, Pick and Strap, Red","2,609","Thursday, 31 August",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_106?keywords=guitar&qid=1693255586&sr=8-106
JUAREZ,"JUAREZ Wood Acoustic Guitar, [Left Handed] 96.52 Cm (38 Inch) Cutaway, 38Cl/Tbls With Bag, Strings, Pick And Strap, Blue Sunburst","2,116","Thursday, 31 August",In stock,https://www.amazon.in/Acoustic-Cutaway-TBLS-Strings-Sunburst/dp/B098BCCY75/ref=sr_1_107?keywords=guitar&qid=1693255586&sr=8-107
NM Signature,"Signature NM Blue Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks V2","3,990","Wednesday, 6 September",Only 2 left in stock,https://www.amazon.in/Signature-NM-Rosewood-Fretboard-Acoustic/dp/B0C7P4LHXH/ref=sr_1_108?keywords=guitar&qid=1693255586&sr=8-108
Medellin,"Medellin Acoustic Guitar + (Free online learning Course) Neon Green with Strings,Bag,Picks and guitar strap.","2,499","Friday, 1 September",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-learning-Strings/dp/B0CCNS2NDX/ref=sr_1_109?keywords=guitar&qid=1693255586&sr=8-109
blueberry,"Blueberry 38C, 38"" Acoustic Guitar Kit with Bag, Strap, One Pack Strings And Picks (Redburst)","2,450","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-Strings-Redburst/dp/B09N9R525J/ref=sr_1_110?keywords=guitar&qid=1693255586&sr=8-110
Tanglewood,"Tanglewood Crossroads TWCR OE Semi Acoustic Guitar, 6 Strings, Orchestra, Whiskey Barrel Burst Satin Finish","13,299","Thursday, 31 August",Only 1 left in stock,https://www.amazon.in/Tanglewood-Crossroads-Acoustic-Strings-Orchestra/dp/B01IA2I0BK/ref=sr_1_111?keywords=guitar&qid=1693255586&sr=8-111
blueberry,"Blueberry B-40, 40"" Acoustic Guitar Kit with Bag,Belt, One Pack Strings & Picks (Sunburst)","4,990","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-Strings-Sunburst/dp/B08L7XJQQ1/ref=sr_1_112?keywords=guitar&qid=1693255586&sr=8-112
YAMAHA,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),"7,399.",,,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_113?keywords=guitar&qid=1693255586&sr=8-113
Cort,Cort AD810E Dreadnought Electro Acoustic Guitar,"12,699","Thursday, 31 August",In stock,https://www.amazon.in/Cort-AD810E-Dreadnought-Electro-Acoustic/dp/B00V9RNUD2/ref=sr_1_114?keywords=guitar&qid=1693255586&sr=8-114
Kadence,Kadence Concert Sized Ukulele 24inch (Built in Equalizer) With Bag and Tuner (Saple Wood With Binding),"3,999","Thursday, 31 August",In stock,https://www.amazon.in/Kadence-Concert-Ukulele-Equalizer-Binding/dp/B08PNSGQBL/ref=sr_1_115?keywords=guitar&qid=1693255586&sr=8-115
Kadence,"Kadence Frontier Series Semi Acoustic Guitar With Die Cast Keys Natural Super Combo, Capo, Bag, strap, strings and 3 picks)","5,999","Saturday, 2 September",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Foldable/dp/B01I50UMPO/ref=sr_1_116?keywords=guitar&qid=1693255586&sr=8-116
blueberry,"Blueberry B-38, 38"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Natural)","2,655","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfbXRmOjIwMDc4MzM2ODg4Nzk4OjowOjo&url=%2FBlueberry-B-D38-Acoustic-inbuilt-Strings%2Fdp%2FB07PCRZ1CD%2Fref%3Dsr_1_117_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
blueberry,"Blueberry B40L, 40"" Acoustic Guitar Kit Inbuilt Truss Rod with Bag, Strap, One Pack Strings And Picks (Classic Maroon)","4,290","Monday, 4 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfbXRmOjIwMDc4MzM2ODg1MTk4OjowOjo&url=%2FBlueberry-Acoustic-Inbuilt-Strings-Classic%2Fdp%2FB09VLF8B8G%2Fref%3Dsr_1_118_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Multi colour,Right Search ®Musical Guitar and Drum Combo Set_GD2,"1,099","Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfbXRmOjMwMDAwODgyMTczODAzMjo6MDo6&url=%2FRight-Search-%25C2%25AEMusical-Guitar-Set_GD2%2Fdp%2FB09PYFV844%2Fref%3Dsr_1_119_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-119-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
blueberry,"Blueberry, VlP-405, 40Inch TrussRod Acoustic Guitar With Bag, Belt, String Set And 2 Picks (Classic Brown)","4,590","Monday, 4 September",Only 2 left in stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfbXRmOjIwMTI3OTkwMDI5MTk4OjowOjo&url=%2FBlueberry-VlP-405-TrussRod-Acoustic-Classic%2Fdp%2FB0BVZBL1VJ%2Fref%3Dsr_1_120_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-120-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Generic,Acoustic Guitar,"1,999","Tuesday, 5 September",In stock,https://www.amazon.in/Generic-G001-Acoustic-Guitar/dp/B0CCKRBHF6/ref=sr_1_121?keywords=guitar&qid=1693255586&sr=8-121
blueberry,"Blueberry B-40, 40"" Acoustic Guitar Kit Inbuilt Truss Rod, with Bag,Belt, One Pack Strings And Picks (Black)","4,290","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-B-40Y-Acoustic-Inbuilt-Strings/dp/B07PLK112T/ref=sr_1_122?keywords=guitar&qid=1693255586&sr=8-122
YAMAHA,Yamaha FSX80C Semi acoustic cutaway guitar (Black),"11,990",Add a Protection Plan:,In stock,https://www.amazon.in/Yamaha-FSX80C-Acoustic-Cutaway-Guitar/dp/B09HL5WFDX/ref=sr_1_123?keywords=guitar&qid=1693255586&sr=8-123
Ibanez,"Ibanez MD39C Cutaway Acoustic Guitar - Sunburst, MD-39CDB (IBA-MD39CSB)","7,929","Friday, 1 September",Only 2 left in stock,https://www.amazon.in/Ibanez-MD39C-NT-Cutaway-Acoustic-MD39CSB/dp/B07KYKTRKX/ref=sr_1_124?keywords=guitar&qid=1693255586&sr=8-124
GIVSON,"Givson Venus Special Cutaway Rosewood 41 Inch Acoustic Guitar Kit With Cover/Bag, String Set, Strap and 5 Plectrums (BLACK)","4,299","Saturday, 2 September",In stock,https://www.amazon.in/Givson-Ketostics-Guitar-Acoustic-Plectrums/dp/B08KS5MRSC/ref=sr_1_125?keywords=guitar&qid=1693255586&sr=8-125
SAGA,Saga SF-600C-NAT Dreadnought Cutaway Acoustic Guitar (Natural),"8,235","Saturday, 2 September",In stock,https://www.amazon.in/SF-600C-NAT-Dreadnought-Cutaway-Acoustic-Natural/dp/B0B1HX47XR/ref=sr_1_126?keywords=guitar&qid=1693255586&sr=8-126
Fender,"Fender 0930307021 SA-105CE Dreadnought Cutaway Electric Guitar - Natural, full size","12,491","Thursday, 31 August",Only 1 left in stock,https://www.amazon.in/Fender-0930307021-SA-105CE-Dreadnought-Electric/dp/B009X3PLRC/ref=sr_1_127?keywords=guitar&qid=1693255586&sr=8-127
Fender,Fender Acoustic Guitar Dreadnought Cutaway Electronics FA-125CE Natural Right-Hand 0971113221 One of The Most reputed Guitar Brands in the World,"18,659","Thursday, 31 August",In stock,https://www.amazon.in/Fender-FA-125CE-Dreadnought-Fingerboard-Natural/dp/B07R16NMKH/ref=sr_1_128?keywords=guitar&qid=1693255586&sr=8-128
blueberry,"Blueberry, VIP-301, 30Inch Acoustic Guitar Kit With Bag, Belt, String Sets And 2 Picks Natural","3,290","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-VIP-301-30Inch-Acoustic-Natural/dp/B0BVVFNXMD/ref=sr_1_129?keywords=guitar&qid=1693255586&sr=8-129
HOVNER,"Hovner Carlton Special Quality Rosewood Fretboard Blue Semi Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks By K-Retail (Blue)","4,635","Saturday, 2 September",In stock,https://www.amazon.in/Carlton-Rosewood-Fretboard-Acoustic-K-Retail/dp/B07KK8P9VB/ref=sr_1_130?keywords=guitar&qid=1693255586&sr=8-130
Ibanez,"Ibanez GRG170DX 40 Inches Wood Electric Guitar, Black","23,339","Thursday, 31 August",In stock,https://www.amazon.in/Ibanez-GRG170DX-Electric-Guitar-Black/dp/B001EM180O/ref=sr_1_131?keywords=guitar&qid=1693255586&sr=8-131
Cort,Cort Acoustic Guitar Pack CAP-810 Open Pore,"9,492","Friday, 1 September",In stock,https://www.amazon.in/Cort-CAP810-OP-Acoustic-Plectrums-Complete/dp/B08D7SWGG5/ref=sr_1_132?keywords=guitar&qid=1693255586&sr=8-132
JUAREZ,JUAREZ JRZ41C 41 Inch ACOUSTIC GUITAR WITH ACC (3TS SUNBURST),"4,169","Thursday, 31 August",In stock,https://www.amazon.in/JUAREZ-JRZ41C-ACOUSTIC-GUITAR-SUNBURST/dp/B07X1XQC4Z/ref=sr_1_133?keywords=guitar&qid=1693255586&sr=8-133
Ibanez,"Ibanez MD39C-NT 39 Inches Rose Wood Cutaway Acoustic Guitar With Gig-Bag, Polishing Cloth And E-Book","7,699","Thursday, 31 August",In stock,https://www.amazon.in/Ibanez-MD39C-NT-Cutaway-Acoustic-Polishing/dp/B084BQJCP8/ref=sr_1_134?keywords=guitar&qid=1693255586&sr=8-134
Fender,Fender Acoustic Guitar Concert Cutaway Electronics CC60SCE Black 970153006,"28,640","Friday, 1 September",Only 1 left in stock,https://www.amazon.in/Fender-CC-60SCE-Concert-Acoustic-Guitar/dp/B07K89DNTZ/ref=sr_1_135?keywords=guitar&qid=1693255586&sr=8-135
YAMAHA,"YAMAHA F310-TBS Right Handed Spruce, Back/Side/Rib, Meranti Acoustic Guitar (Tobacco Sunburst, 6-Strings)","10,490","Saturday, 2 September",Only 1 left in stock,https://www.amazon.in/Yamaha-6-String-Acoustic-Right-Handed-Sunburst/dp/B000WITGQO/ref=sr_1_136?keywords=guitar&qid=1693255586&sr=8-136
YAMAHA,"Yamaha Electric-Acoustic Guitar FX280 Dreadnought With Mexa Sponge Guitar Bag, Belt,Plectrums.","12,499","Sunday, 3 September",In stock,https://www.amazon.in/Yamaha-Electric-Acoustic-FX280-Dreadnought-Plectrums/dp/B09HSHNR6R/ref=sr_1_137?keywords=guitar&qid=1693255586&sr=8-137
blueberry,"Blueberry B-38C-Brown 38 Inch Acoustic Guitar Kit with Bag, Strap, One Pack Strings And 2 Picks","2,450","Monday, 4 September",In stock,https://www.amazon.in/Blueberry-B-38C-Brown-Acoustic-Guitar-Strings/dp/B0B71BHDGQ/ref=sr_1_138?keywords=guitar&qid=1693255586&sr=8-138
Cort,Cort AF510M-OP Acoustic Guitar,"9,800","Thursday, 31 August",In stock,https://www.amazon.in/Cort-AF510MOP-AF510M-OP-Acoustic-Guitar/dp/B00E3GQ9MK/ref=sr_1_139?keywords=guitar&qid=1693255586&sr=8-139
YAMAHA,Yamaha FX280 Tobacco Brown Sunburst Electro Acoustic Guitar,"11,190","Saturday, 2 September",Only 1 left in stock,https://www.amazon.in/FX280-acoustic-Dreadnought-Tobacco-Sunburst/dp/B09HR7BXGW/ref=sr_1_140?keywords=guitar&qid=1693255586&sr=8-140
YAMAHA,"Yamaha 16 Incheses wood Acoustic Guitar F280 Dreadnought With Mexa Sponge Bag Belt,Plectrums, String Set & Guitar StAnd (Natural)","8,999","Sunday, 3 September",In stock,https://www.amazon.in/Acoustic-F280-Dreadnought-Plectrums-Natural/dp/B092TPXZRN/ref=sr_1_141?keywords=guitar&qid=1693255586&sr=8-141
Kadence,"Kadence Frontier Jumbo Semi Acoustic Guitar, (Bag, 1 pack Strings, Strap, Picks, (Natural EQ C)","6,899","Saturday, 2 September",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Equalizer-Natural/dp/B01HRIOSGE/ref=sr_1_142?keywords=guitar&qid=1693255586&sr=8-142
AUREUS,AUREUS 4 String Acoustic Guitar Musical Instrument Educational Small Guitar for Beginners Kids Children,999,"Saturday, 2 September",In stock,https://www.amazon.in/AUREUS-Acoustic-Instrument-Educational-Beginners/dp/B09W12QFQD/ref=sr_1_143?keywords=guitar&qid=1693255586&sr=8-143
Kadence,Kadence Acoustica Series Semi Acoustic Ash Wood with Fluorocarbon strings Equalizer A-06 (Ukulele),"3,299","Saturday, 2 September",In stock,https://www.amazon.in/Kadence-Acoustica-Acoustic-Fluorocarbon-Equalizer/dp/B08PBLKL62/ref=sr_1_144?keywords=guitar&qid=1693255586&sr=8-144
Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (White) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd","2,499",,,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSFP7JK/ref=sr_1_145?keywords=guitar&qid=1693255586&sr=8-145
YAMAHA,"Yamaha F280 Acoustic sprucewood Guitar Dreadnought With Mexa Guitar Bag, Belt, String Set, Plectrums & Guitar StAnd (Tsb)","8,699","Sunday, 3 September",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Dreadnought-Plectrum/dp/B08VN2V5V3/ref=sr_1_146?keywords=guitar&qid=1693255586&sr=8-146
VAULT,Vault ST1 Premium Electric Guitar - White,"7,999","Thursday, 31 August",In stock,https://www.amazon.in/Vault-ST1-Premium-Electric-Guitar/dp/B09GLYSJ8W/ref=sr_1_147?keywords=guitar&qid=1693255586&sr=8-147
Kadence,Kadence GenZ Guitar (with Guitar learning course) Acoustic Guitar with Die Cast Keys and Bag (Pink),"5,999","Friday, 1 September",In stock,https://www.amazon.in/Kadence-Guitar-learning-course-Acoustic/dp/B0CD4C26LD/ref=sr_1_148?keywords=guitar&qid=1693255586&sr=8-148
Kordz,"Kordz Luana Blue 41 Inch Rosewood Fretboard Acoustic Guitar With Bag,Strap,1 Set of Extra Strings and 2 Picks","3,890","Saturday, 2 September",In stock,https://www.amazon.in/Kordz-Luana-Rosewood-Fretboard-Acoustic/dp/B09FFM9VSH/ref=sr_1_149?keywords=guitar&qid=1693255586&sr=8-149
Intern,"Intern INT-38C-L-SB Left Hand Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Sunburst)","2,799","Thursday, 31 August",In stock,https://www.amazon.in/Intern-INT-38C-L-SB-Acoustic-Guitar-Sunburst/dp/B07J5B69MB/ref=sr_1_150?keywords=guitar&qid=1693255586&sr=8-150
blueberry,"Blueberry, VlP-405, 40Inch TrussRod Acoustic Guitar With Bag, Belt, String Set And 2 Picks (Classic Brown)","4,590","Monday, 4 September",Only 2 left in stock,https://www.amazon.in/Blueberry-VlP-405-TrussRod-Acoustic-Classic/dp/B0BVZBL1VJ/ref=sr_1_151?keywords=guitar&qid=1693255586&sr=8-151
Tanglewood,"Tanglewood Discovery Exotic DBT TCE BW Electro-Acoustic Travel Guitar, with Bag, FISHMAN Pickup, Free Natural","21,567","Saturday, 2 September",Only 1 left in stock,https://www.amazon.in/Tanglewood-DBT-TCE-BW-Electro-Acoustic/dp/B085CNHPVH/ref=sr_1_152?keywords=guitar&qid=1693255586&sr=8-152
Multi colour,Right Search ® Musical Guitar Toy_g1,299,"Saturday, 2 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYnRmOjMwMDAwODg4MjMwNzMzMjo6MDo6&url=%2FRight-Search-Musical-Guitar-Toy_g1%2Fdp%2FB09Z9CQZQ9%2Fref%3Dsr_1_153_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-153-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
Guitar Bro,"GUITAR BRO - COMBO (Black Acoustic Rose Wood Guitar for Beginner, Guitar Learning Kit, Song Book, Video Lectures, Accessories like Pick, Bag)","8,999",6 - 8 September,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQ2MjA1MjAwODY3NjA0OjE2OTMyNTU1ODY6c3BfYnRmOjIwMDQ5MTI5MTM2MjAxOjowOjo&url=%2FGUITAR-BRO-Acoustic-Beginner-Accessories%2Fdp%2FB07T84GC8L%2Fref%3Dsr_1_154_sspa%3Fkeywords%3Dguitar%26qid%3D1693255586%26sr%3D8-154-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
